iter	Passed	Remaining
0	155	155382
1	159	79468
2	161	53810
3	164	40907
4	167	33275
5	169	28127
6	173	24583
7	176	21827
8	178	19665
9	180	17913
10	183	16489
11	185	15296
12	188	14309
13	190	13416
14	192	12647
15	194	11976
16	196	11378
17	198	10843
18	200	10357
19	202	9938
20	205	9561
21	206	9196
22	208	8860
23	210	8553
24	212	8274
25	214	8016
26	215	7771
27	217	7561
28	219	7355
29	221	7165
30	223	6979
31	225	6810
32	227	6653
33	228	6496
34	230	6357
35	232	6230
36	234	6106
37	236	5983
38	238	5866
39	239	5752
40	241	5648
41	243	5547
42	245	5453
43	246	5363
44	248	5280
45	250	5194
46	252	5111
47	253	5034
48	255	4959
49	257	4891
50	259	4823
51	261	4759
52	263	4701
53	265	4642
54	266	4580
55	268	4521
56	270	4468
57	272	4421
58	274	4371
59	276	4324
60	279	4299
61	281	4253
62	282	4204
63	284	4155
64	285	4111
65	287	4066
66	288	4021
67	290	3977
68	291	3935
69	293	3905
70	295	3865
71	297	3828
72	298	3790
73	300	3764
74	302	3731
75	304	3700
76	306	3669
77	309	3659
78	311	3627
79	312	3594
80	314	3568
81	316	3537
82	316	3500
83	318	3470
84	319	3443
85	321	3415
86	324	3401
87	325	3373
88	326	3347
89	328	3321
90	330	3297
91	331	3271
92	332	3245
93	334	3220
94	335	3196
95	336	3173
96	339	3156
97	340	3133
98	341	3111
99	343	3089
100	344	3068
101	346	3047
102	347	3027
103	349	3007
104	350	2986
105	352	2970
106	354	2954
107	355	2935
108	357	2920
109	358	2902
110	360	2884
111	361	2868
112	363	2850
113	364	2832
114	366	2817
115	368	2809
116	369	2790
117	371	2774
118	372	2759
119	374	2742
120	375	2726
121	376	2710
122	377	2694
123	379	2681
124	380	2666
125	384	2663
126	385	2650
127	386	2635
128	388	2622
129	389	2608
130	391	2594
131	392	2581
132	394	2569
133	395	2556
134	398	2551
135	399	2540
136	401	2528
137	402	2516
138	404	2503
139	405	2490
140	406	2478
141	407	2463
142	408	2450
143	410	2438
144	411	2427
145	413	2419
146	414	2407
147	416	2397
148	417	2385
149	419	2374
150	420	2363
151	421	2352
152	422	2341
153	424	2329
154	425	2318
155	426	2309
156	428	2302
157	430	2294
158	431	2284
159	433	2274
160	434	2262
161	435	2252
162	436	2241
163	437	2231
164	439	2221
165	440	2212
166	441	2202
167	443	2195
168	444	2186
169	445	2176
170	447	2167
171	448	2159
172	449	2150
173	451	2141
174	452	2131
175	453	2122
176	454	2113
177	455	2104
178	457	2097
179	458	2090
180	460	2081
181	461	2073
182	462	2064
183	463	2055
184	464	2046
185	465	2038
186	467	2030
187	468	2023
188	469	2016
189	471	2011
190	473	2003
191	474	1996
192	475	1988
193	476	1980
194	477	1972
195	479	1964
196	480	1957
197	481	1950
198	482	1943
199	484	1937
200	485	1931
201	487	1925
202	488	1918
203	490	1912
204	491	1904
205	492	1897
206	493	1890
207	494	1883
208	495	1876
209	496	1869
210	498	1862
211	499	1856
212	500	1850
213	502	1845
214	503	1839
215	505	1833
216	506	1827
217	507	1821
218	508	1814
219	510	1808
220	511	1801
221	512	1795
222	513	1789
223	514	1782
224	516	1777
225	517	1773
226	518	1767
227	520	1761
228	521	1755
229	522	1749
230	523	1743
231	525	1738
232	526	1731
233	527	1725
234	528	1720
235	529	1714
236	530	1709
237	532	1705
238	533	1699
239	535	1694
240	536	1689
241	537	1684
242	538	1678
243	539	1672
244	541	1667
245	542	1662
246	543	1656
247	544	1651
248	545	1645
249	547	1641
250	548	1636
251	549	1631
252	550	1626
253	551	1620
254	553	1615
255	554	1610
256	555	1605
257	556	1600
258	557	1595
259	558	1590
260	560	1586
261	562	1583
262	563	1578
263	564	1573
264	565	1569
265	567	1564
266	568	1559
267	569	1555
268	570	1550
269	571	1546
270	573	1541
271	574	1537
272	575	1532
273	577	1529
274	578	1525
275	579	1521
276	581	1516
277	582	1512
278	583	1507
279	584	1503
280	585	1498
281	586	1494
282	588	1489
283	589	1485
284	590	1481
285	592	1478
286	593	1474
287	594	1470
288	595	1465
289	597	1461
290	598	1457
291	599	1452
292	600	1449
293	601	1444
294	602	1440
295	604	1436
296	605	1432
297	607	1430
298	608	1427
299	609	1423
300	611	1419
301	612	1415
302	613	1411
303	614	1407
304	615	1403
305	617	1399
306	618	1395
307	619	1391
308	620	1387
309	622	1385
310	623	1382
311	625	1378
312	626	1374
313	627	1371
314	629	1367
315	630	1364
316	631	1360
317	632	1356
318	633	1352
319	635	1349
320	636	1346
321	638	1343
322	639	1340
323	641	1337
324	642	1333
325	643	1330
326	644	1327
327	645	1323
328	647	1319
329	648	1315
330	649	1312
331	650	1308
332	652	1306
333	653	1303
334	654	1299
335	655	1295
336	656	1292
337	657	1288
338	659	1285
339	660	1282
340	661	1279
341	663	1275
342	664	1272
343	665	1269
344	668	1268
345	669	1265
346	671	1263
347	672	1259
348	673	1256
349	674	1253
350	675	1249
351	677	1246
352	678	1243
353	679	1240
354	681	1237
355	682	1235
356	684	1232
357	685	1228
358	686	1226
359	687	1222
360	689	1219
361	690	1216
362	691	1213
363	692	1210
364	693	1207
365	695	1204
366	697	1202
367	698	1199
368	699	1196
369	700	1193
370	702	1190
371	703	1187
372	704	1183
373	705	1180
374	706	1177
375	708	1175
376	709	1171
377	710	1168
378	712	1166
379	713	1164
380	714	1161
381	715	1158
382	717	1155
383	718	1152
384	719	1149
385	720	1146
386	721	1143
387	723	1140
388	724	1137
389	725	1134
390	727	1132
391	728	1129
392	729	1127
393	730	1124
394	732	1121
395	733	1118
396	734	1115
397	735	1112
398	736	1109
399	737	1106
400	739	1104
401	740	1101
402	742	1099
403	743	1096
404	744	1093
405	745	1091
406	746	1088
407	748	1085
408	749	1082
409	750	1080
410	751	1077
411	752	1074
412	754	1071
413	755	1069
414	757	1067
415	758	1064
416	759	1062
417	760	1059
418	761	1056
419	763	1053
420	764	1051
421	765	1048
422	766	1046
423	768	1043
424	769	1040
425	770	1038
426	772	1036
427	773	1033
428	774	1031
429	775	1028
430	776	1025
431	778	1023
432	779	1020
433	780	1017
434	781	1015
435	782	1012
436	784	1010
437	785	1007
438	787	1005
439	788	1003
440	789	1001
441	791	998
442	792	996
443	793	993
444	794	991
445	796	988
446	797	986
447	799	984
448	800	982
449	802	980
450	803	978
451	804	975
452	806	973
453	807	970
454	808	968
455	809	966
456	810	963
457	812	961
458	813	958
459	814	956
460	815	954
461	817	952
462	818	949
463	820	947
464	821	945
465	822	942
466	824	940
467	825	938
468	826	935
469	827	933
470	828	930
471	829	928
472	830	925
473	832	923
474	833	921
475	834	919
476	836	916
477	837	914
478	838	911
479	839	909
480	840	907
481	842	905
482	843	902
483	844	900
484	846	898
485	847	896
486	849	894
487	850	892
488	851	889
489	852	887
490	854	885
491	855	883
492	856	881
493	858	879
494	859	876
495	860	874
496	862	872
497	863	870
498	864	868
499	865	865
500	867	863
501	868	861
502	869	859
503	871	857
504	872	854
505	873	852
506	874	850
507	875	847
508	876	845
509	878	844
510	879	841
511	881	839
512	882	837
513	883	835
514	884	833
